"","ID","textID","sentenceID","sentence","translation","PP"
"28",544,"BrutRB","91.33-37","a phan dylyynt y ffichteit kanhorthwy eu brenhin nyt ef a wnaethant namyn kymryt gwerth gan garawn a llad basianus.","and when the Picts ?owed/deserved assistance of their king they did not do ?it but taking bribe/recompense with Carawn and killing Basianus","namyn kymryt gwerth gan garawn a llad basianus."
"29",1148,"Ger","27.765-766","‘Nyt oed reit y ti namyn cadw y geir a erchyssit it; sef oed hwnnw, tewi.","‘You had only to obey the order you were given, which was to keep quiet.…' Davies2007:159; It was not necessary for you except keeping the word which was asked from you, that is this: be silent.","namyn cadw y geir"
"30",368,"BrutRB","73.17-21","ac ny mynwys ymrodi ym petruster greulawn damwein y'r bobyl y ymlad. Namyn agori y dreswr a rodi y bawb amylder o eur ac ary ant. a rengi bod pawb o'r bonhedigyon a'r dylyeodogyon","and he[Cesar] did not desire to submit to violent hesitation of the people to fight except opening his treasury and give erveryone plenty of gold and silver and satisfy the existence of all of the high-born and nobles","Namyn agori y dreswr a rodi y bawb amylder o eur ac ary ant. a rengi bod pawb o'r bonhedigyon a'r dylyeodogyon"
"31",798,"PKM","53.8-9","""ni chynghoraf i adaw y dref, namyn llad y tayogeu racco.""","'my advice is not to leave the town but rather kill these churls.'; Davies2007:37","namyn llad y tayogeu racco"
"32",789,"PKM","51.25-52.3","A phan edrychyssant y ford y guelyn y preideu, a'r anreitheu, a'r kyuanhed kyn no hynny, ny welynt neb ryw dim, na thy, nac aniueil, na mwc, na than, na dyn, na chyuanhed, eithyr tei y llys yn wac, diffeith, anghyuanhed, heb dyn, heb uil yndi eu kedymdeithon e hun wedy eu colli, heb wybot dim y wrthunt, onyt wyll pedwar.","When they looked to where they had once seen the flocks and herds and dwelling-places, they could now see nothing at all, neither building nor beast, neither smoke nor fire, neither man nor dwelling-place, only the court buildings empty, desolate, uninhabited, without people, without animals in them; their own companions had disappeared with nothing known of their whereabours–only the four of them remained.;Davies2007:37","eu kedymdeithon e hun wedy eu colli"
"33",1140,"Ger","25.707-710","A boregweith yr haf yd oydynt yn y gwely (ac ynteu vrth yr erchwyn, ac Enyt a oed heb gysgu) y mywn ystauell wydrin, a’r heul yn tywynnu ar y gwely, a’r dillad gwedy ry lithraw y ar y dwyuron ef a’e dwy ureich, ac ynteu yn kyscu.","One morning in the summer they were in bed (he on the outer edge, and Enid had not slept) in a chamber of glass, and the sun shining on the bed; and the bedclothes had slipped off his chest and arms, and he was asleep. Davies2007:158","a’r dillad gwedy ry lithraw y ar y dwyuron ef a’e dwy ureich"
"34",780,"PKM","50.12-14","Gwled darparedic oed udunt erbyn eu dyuot yn Arberth, a Riannon a Chicua wedy y harlwyaw.","A feast had been prepared for them, ready for their arrival at Arberth, arranged by Rhiannon and Cigfa.; Davies2007:36","a Riannon a Chicua wedy y harlwyaw"
"35",1191,"BrutRB","35.40-45","ac velly eu kymell y ffo y wrth y ty. ac eissoes o'r diwed o eisseu bwyt. a pheunydyawl ymlad yn eu blinaw. anuon kenadeu a wnaethant att vrutus y erchi kanhorthwy am rydit udunt ","and thus they fled to their house and still at last from lack of food and daily fighting exhausting them they sent messengers to Brutus to ask assistance for freedom to them","yn eu blinaw"
"36",171,"BrutRB","57.9-10","ac y bu uarw y dynyon gan y kaccwn yn eu llad drwy y glaw gwaet","and many people died from the wasps which are killed by the rain of blood","yn eu llad drwy y glaw gwaet"
"37",681,"PKM","22.25-27","Ac wrth y drws, llyma uab bychan yn y gorn, guedy troi llenn o bali yn y gylch.","And by the door there is a small boy in swaddling-clothes with a mantle of brocaded silk wrapped around him.; Davies2007:18","guedy troi llenn o bali yn y gylch"
"38",18,"BrutRB","31.33-36","gwedy diwreidaw y muroed yn wallus. ac ereill etwa yn seuyll yn iach. a themleu seint yndunt yn moli duw a muroed a chaeroed arderchawc yn eu teckau","after their walls were destroyed carelessly, and others are still standing safely with temples of saintly people in them who praise god and walls with raised citadels which adorn them","yn eu teckau"
"39",1034,"Ger","7.200-201","A morwyn a ged gyr y llaw, a chrys a llenlliein ymdanei gohen yn dechreu atueilaw;","There was a maiden beside her dressed in a smock and a linen mantle which was quite old and beginning to fall apart. Davies2007:144","yn dechreu atueilaw"
"40",937,"BMW","3.13-14","Gwintasseu o gordwal newyd am eu traet. a llafneu o rudeur yn eu kayu.","On their feet were boots of new Cordovan leather, with bands of red gold fastening them. Davies2007:104","yn eu kayu"
"41",936,"BMW","3.9-11","Gwisc y maccwyeit oed pali purdu. a ractaleu o rudeur yn kynhal eu gwallt. a mein gwerthuawr llywychedic yndunt.","The lads’ garments were of pure black brocaded silk, and frontlets of red gold [on their heads] holding their hair in place, with precious, sparkling stones in them,… Davies2007:104","yn kynhal eu gwallt. a mein gwerthuawr llywychedic yndunt"
"42",144,"BrutRB","51.23-24","ac y dan yr enneint hwnnw y gossodes tan heb diffodi byth","and under this bath he put fire which does not extinguish ever","heb diffodi byth"
"43",944,"BMW","3.26-4.2","Crysseu o sidan gyin a oed am y voryyn. a chayeu o rudeur rac y bron. a swrcot o pali eureit ymdanei. ac yscin kyfryy a hi. a thaccet o rudeur yny chynhal ymdanei. a ractal o rudeur am y phenn,…","The maiden wore shifts of white silk with clasps of red gold at her breast, and a surcoat of gold brocaded silk with a mantle to match, and a brooch of red gold holding the mantle about her; and a frontlet of red gold on her head,… Davies2007:104","yny chynhal ymdanei"
"44",354,"BrutRB","72.12-15","ac rac ruthur y bydinoed yntewhau am eu pen. y bu reit y'r amherawdyr adaw y gledyf yny daryan gan nynyaw","and because of the assault of the troops thickening around them it was necessary for the emporer to leave his sword in his shield with Nynyaw","yn tewhau am eu pen."
"45",17,"BrutRB","31.34-36","ac ereill etwa yn seuyll yn iach. A themleu seint yndunt yn moli duw. a muroed a chaeroed arderchawc yn eu teckau.","and others are still standing safely with temples of saintly people in them who praise god and walls with raised citadels which adorn them","yn moli duw"
"46",373,"BrutRB","73.26-29","a'r gwr a oed gynt megys llew dywal creulawn gwedy eu hyspeilaw ac eu treissaw. Yr awr honno yd oed hwnnw megys oen gwaredawc.","and the man was formerly like a rampant, cruel lion having robbed them and oppressed them. In this hour this one was like a redeeming lamb","gwedy eu hyspeilaw ac eu treissaw"
"47",65,"BrutRB","37.25-27","a megys deueit ymplith bleideu heb wybot fford y ffo yd arhoynt eu hageu","and like sheep[j] amongst wolves that[j] know no way to escape they would await their death","heb wybot fford y ffo"
"48",364,"BrutRB","73.12-14","ac attunt y dathoed chwedyl bot y weilgi yn gyflawn o lyges gan gaswallawn yny ymlit.","and to them came the story that the sea was full of [ships1 of Caswallawn] which1 pursued him[Cesars] OR and to them came the story that the sea was full of ships [with Caswallawn1] who1 pursued him[Cesars]","yny ymlit"
"49",19,"BrutRB","31.36-40","ac yny temleu kenueinoed o wyr a gwraged a chwuenoed yn talu gwassanaeth dylyedus yn amseroed keugant (certain) y eu creawwdyr yn herwyd cristonogawl fyd","and in the temples [there are] groups of men and women and religious communities who donate proper sacrifice at the appropriate time to their creator according to the Christian faith","yn talu gwassanaeth"
"50",1166,"Ger","29.817-820","Y uorwyn yn seuyll ac yn edrych ar hynny, goualus oed o’r lleill parth o dybygu briwaw Gereint yn ymhwrd a’r gwyr, ac o’r parth arall o lewenyd y welet ynteu yn goruot.","The maiden, standing and looking at that, was on the one hand anxious, for she supposed Geraint would be wounded as he fought with the men, but on the other hand she was joyful to see him triumph. Davies2007:161","yn seuyll"
"51",1167,"Ger","29.817-820","Y uorwyn yn seuyll ac yn edrych ar hynny, goualus oed o’r lleill parth o dybygu briwaw Gereint yn ymhwrd a’r gwyr, ac o’r parth arall o lewenyd y welet ynteu yn goruot.","The maiden, standing and looking at that, was on the one hand anxious, for she supposed Geraint would be wounded as he fought with the men, but on the other hand she was joyful to see him triumph. Davies2007:161","yn edrych ar hynny"
"52",14,"BrutRB","31.12-16","Yndi hefyt y maent koetyd a llwynee kyflawn o amgen genedloed aniueileit a|bwystuileit. ac ygyt a hynny amlaf kenueinoed o'r gwenyn o blith y blodeuoed yn kynullaw mel","‘In her[isle of Britain] there are also woods and forests full of different types of animals and beasts and together with these [there are] many swarms of bees which collected honey out of the midst of flowers’","yn kynullaw mel"
"53",938,"BMW","3.17-20","breichrwyfeu eur a|oed am y vreicheu. a modrwyeu amhyl am y dwylaw. a gordtorch eur am y vynwgyl. a ractal eur yn kynhal y wallt. ac ansawd erdrym arnaw.","There were gold bracelets on his arms, and many gold rings on his fingers; and a gold torque around his neck, and a gold frontlet holding his hair; and a noble quality about him.; Davies2007:104","yn kynhal y wallt"
"54",261,"BrutRB","33.38-42","ac odyna yr anuones brutus lythyr hyt ar pendrassus vrenhin groec yn y mod hwnn. Brutus tywyssawc gwedillon kenedyl droea. yn anuon annerch y bandrassus vrenhin groec. a menegi idaw","and then Brutus sent a letter to Pandrassus, king of Greece in this way. Brutus, prince of the remnants of the tribe of Troy, sending greetings to Pandrassus, king of Greece and declares to him…","yn anuon annerch y bandrassus vrenhin groec"
"55",336,"BrutRB","70.28-30","Kaswallawn brenhin y brytanyeit yn anuon annerch y ulkessar.","Caswallawn, king of the British sent greetings to Ceasar","yn anuon annerch y ulkessar."
"56",406,"BrutRB","76.17-19","Auarwy mab llud tywysawc llundein yn anuon annerch at ulkesar.","Afarwy, son of Llud prince of London, sending greetings to Cesar","yn anuon annerch at ulkesar."
"57",15,"BrutRB","31.28-32","ac ar hyt y rei hynny y deuant amryvael gyfnewityeu. or gwladoed tramor. ac y gyt a hynny gynt yr oed yndi wyth prif dinas ar hugeint yn y theckau","and along these [arms of the river] different kinds of trade of foreigns lands come up and together with these there were formerly 28 principal cities in her [the British Isle] adorning her","yn y theckau"
"58",220,"BrutRB","63.14-19","a phan doeth gwyr rufein tranoeth yr glyn hwnnw y gwelynt y glyn yn echtywynu gan yr heul yn disgleiraw ar arueu eu gelynyon","and as the men of Rome came the next day to this glen they could see the glen sparkling with/from the sun shining on the weapons of their enemies","yn disgleiraw ar arueu eu gelynyon"
"59",1208,"BrutRB","42.15-18","ac val yd oed genadeu goffar yn dyuot. y kyuaruuant a chorineus a deucanwr ygyt ac ef yn hely yn forest y brenhin.","And as Goffar's messengers were coming they met with Corineus and 200 warriors with him who were hunting in the king's forest.","yn hely yn forest y brenhin."
"60",286,"BrutRB","53.21-26","a gwedy bot llyr yn y wed honno gyt a maglawn. blyghau a oruc cordeilla rac meint oed o varchogyon gyt ae that ac rac eu gwasanaethwyr wynteu yn teruysgu y llys","And after Lear was like this with Maglawn, Cordeilla grew angry because of the number of knights with her father and because of their servants who disturbed the court.","yn teruysgu y llys"
"61",60,"BrutRB","36.53-54","ac yna heb pedrussw galw y gwersylleu a wnaethant","and then without hesitating they called up the armies","heb pedrussw"
"62",614,"PKM","4.20-22","Ac o'r a welsei eiryoet wrth ymdidan a hi, dissymlaf gwreic a bonedigeidaf i hannwyt a'y hymdidan oed.","As he conversed with her, he found her to be the most noble woman and the most gracious of disposition and discourse he had ever seen. Davies2007:5","wrth ymdidan a hi"
"63",92,"BrutRB","42.8-10","ac yna y gorffwysassant yn edrych ansawd y wlat seith nieu [a|saith noS.","and then they waited observing the quality of the land [for] seven days and seven nights","yn edrych ansawd y wlat"
"64",623,"PKM","7.27-8.1","""I Duw y dygaf uy nghyffes,"" heb hitheu, ""gauael gadarn a geueist ar gedymdeith yn herwyd ymlad a frouedigaeth y gorff, a chadw kywirdeb wrthyt titheu.""","'I confess to God', she said, 'you have struck a firm bargain for your friend to have fought off the temptations of the flesh and kept his word to you.' Davies2007: 7","yn herwyd ymlad a frouedigaeth y gorff, a chadw kywirdeb wrthyt titheu"
"65",229,"BrutRB","64.4-7","nachaf eu deu amherawdyr yn dyuot Megys y dywedyssynt gwedy yr ymgynnullaw yr hyn a diagyssei oc eu llu heb eu llad","behold, their two emperors coming, as they had said, after they had assembled those who escaped from their host without having been killed","heb eu llad"
"66",790,"PKM","51.25-52.3","A phan edrychyssant y ford y guelyn y preideu, a'r anreitheu, a'r kyuanhed kyn no hynny, ny welynt neb ryw dim, na thy, nac aniueil, na mwc, na than, na dyn, na chyuanhed, eithyr tei y llys yn wac, diffeith, anghyuanhed, heb dyn, heb uil yndunt eu kedyrndeithon e hun wedy eu colli, heb wybot dim y wrthunt, onyt wyll pedwar.","When they looked to where they had once seen the flocks and herds and dwelling-places, they could now see nothing at all, neither building nor beast, neither smoke nor fire, neither man nor dwelling-place, only the court buildings empty, desolate, uninhabited, without people, without animals in them; their own companions had disappeared with nothing known of their whereabouts–only the four of them remained.;Davies2007:37","heb wybot dim y wrthunt"
"67",128,"BrutRB","48.33-35","ac velly y bu yn mynychu attei seith mlyned heb wybot y neb eithyr y annwyleit","and thus he visited her for seven years without anyone knowing except his closest companion","heb wybot y neb eithyr y annwyleit"
"68",817,"PKM","57.23-25","""E rof a Duw,"" heb ef, ""titheu a gey y gedymdeithas a uynych y genhyf i, herwyd uyg gallu i, tra welho Duw yn bot yn y dihirwch hwnn a'r goual.""","'I swear to God,' he said, ' you shall have the friendship that you want from me, as far as I am able, for as long as God wants us to be in this misery and sorrow.'; Davies2007:40-41","herwyd uyg gallu i"
"69",699,"PKM","27.9-10","Ac nyt aeth heb gynnhic ydaw y tlysseu teccaf a'r meirych goreu a'r cwn hoffaf.","And he[Teyrnon] did not depart without having being offered the fairest jewels and the best horses and the most highly prized dogs.; Davies2007:20","heb gynnhic ydaw y tlysseu teccaf a'r meirych goreu a'r cwn hoffaf"
"70",1155,"Ger","29.817-820","Y uorwyn yn seuyll ac yn edrych ar hynny, goualus oed o’r lleill parth o dybygu briwaw Gereint yn ymhwrd a’r gwyr, ac o’r parth arall o lewenyd y welet ynteu yn goruot.","The maiden, standing and looking at that, was on the one hand anxious, for she supposed Geraint would be wounded as he fought with the men, but on the other hand she was joyful to see him triumph. Davies2007:161","yn ymhwrd a’r gwyr"
"71",966,"BMW","8.21-23","ac a welas Eudaf uab Karadawc yn eisted y mywn kadeir o ascwrn, yn torri gwerin y wydbwyll.","…and Eudaf son of Caradog sitting in a chair of ivory, carving pieces for the gwyddbwyll. Davies2007:108","yn torri gwerin y wydbwyll"
"72",666,"PKM","19.14-16","Na gwr na gwreic o hynny nyt edewis Riannon, heb rodi rod enwauc idaw, ae o gae, ae o uodrwy, ae o uaen guerthuawr.","Neither a man nor woman among them left Rhiannon without being given a notable gift, either a brooch or a ring or a precious stone.; Davies2007:15--16","heb rodi rod enwauc idaw, ae o gae, ae o uodrwy, ae o uaen guerthuawr."
"73",432,"BrutRB","79.15-18","kany eill un tywyssawc kaffel budugolyaeth heb y wyr a ellygant eu gwaet yn ymlad drostaw.","since one prince cannot take victory without his men who gave their blood fighting under/for him","yn ymlad drostaw."
"74",205,"BrutRB","61.44-62.1","ac erchi y charedic vab koffau y poen ar gofut a gawssei yny ymdwyn naw mis yny challon","and she asked her darling son to remember the pain and sorrow which she had carrying him under her heart for nine months","yny ymdwyn naw mis yny challon"
"75",267,"BrutRB","44.14-16","a gwed* gwneuthur y castell y bu deudyd yn aros dyuodedigaeth goffar ae lu drwy ymdiret yny glewder ae hueinctit","and after making the castle he was waiting two days for the arrival of Goffar and his host while he trusted in their bravery[Trojans] and youth[Trojans]","drwy ymdiret yny glewder ae hueinctit"
"76",315,"BrutRB","67.43-45","Ac odyna y gwledychwys arthal deg mlyned gan ymchoelut y chwedyl yny wrthwyneb.","And then Arthal ruled ten years changing his actions back into their opposite","gan ymchoelut y chwedyl yny wrthwyneb."
"77",101,"BrutRB","43.9-11","gan ysglyuyeit bwyell deuwynebawc y gyrrei ofyn a ffo ar y elynyon gan ymadrawd ac wynt val hynn","with the battle-axe pillaging he scared and put the enemies to flight talking to them thus","gan ymadrawd ac wynt val hynn"
"78",125,"BrutRB","48.13-16","a dyuot a wnaeth corineus at locrinus dan dreiglaw bwyell deuwynebawc yny law deheu. dan dywedut y ryw ymadrawd hwnn","and Corineus came to Locrinus whirling a battle-axe in his right hand, saying such a kind of statement","dan dreiglaw bwyell deuwynebawc yny law deheu"
"79",288,"BrutRB","54.45-55.4","pa ffuruf y gallaf rac kewilyd adolwyn nerth na chanhorthwy y genyt ti wrth ry sorri yg kam ohonaf i. wrthyt ti. am dy doethineb di a'th rodi yn dremygedic gan debygu bot yn waeth dy diwed noth whioryd ereill","how can I asked from shame for strength or for help from you since I was angered unjustly from me against you about your wisdom and giving you to the man in scorn thinking that your conclusion is worse than your other sisters'","gan debygu bot yn waeth dy diwed noth whioryd ereill"
"80",1137,"Ger","25.704-705","Nyt oed haws genthi hitheu warandaw ar a glywei heb rebudyaw Gereint ymdanaw,…","Nor was it any easier for her to listen to what she heard without warning Geraint about it. Davies2007:158","heb rebudyaw Gereint ymdanaw"
"81",1047,"Ger","11.303-305","Ac o bell y vrthaw gordinaw y uarch a oruc Gereint a’y gyrchu ef gan y rybudyaw a gossot arnaw dyrnawd tosdym creulawndrud yg kedernit y daryan…","At a distance from him Geraint spurred his horse and charged him, warning him and striking[struck] him a blow severe and keen, bloody and bold in the strongest part of his shield… Davies2007:147","gan y rybudyaw"
"82",720,"PKM","34.14-16","Ac os yr bychanet genhyt ti dy iawn, ti a gehy ychwanegu yt wrth dy uynnu, ac auory talu dy ueirch yt.""","And if it's because you feel your compensation is too little, I shall add to it as you wish, and tomorrow your horses shall be given to you.'; Davies2007:25","wrth dy uynnu"
"83",489,"BrutRB","86.17-18","ac yr hynny hyt hediw y maent yn ormes heb uynet odyma.","and from this until today they are oppressed without going from this place","heb uynet odyma."
"84",603,"PKM","1.19-20","Ac yna edrych ohonaw ef ar liw yr erchwys, heb hanbwyllaw edrych ar y carw.","Then Pwyll looked at the colour of the pack, without bothering to look at the stag. Davies2007:3","heb hanbwyllaw edrych ar y carw"
"85",222,"BrutRB","63.23-26","ac eu herlit a wnaeth y brytanyeit udunt yn greulawn tra barhawys y dyd dan wneuthur aerua drom onadunt","and the British pursued them mercilessly as the day lasted, while they made a solid battle","dan wneuthur aerua drom onadunt"
"86",495,"BrutRB","86.35-38","ac wrth hynny yd oed ynteu yn rwymedic o garyat wrthunt wynteu. ac yn talu eu teyrnget udunt heb y waravun","and because of this he was compelled of love to them and paying their tribute to them without refusing it","heb y waravun"
"87",1194,"BrutRB","36.21-26","Pan del y nos kerda parth ac at y llu a phwy bynnac a gyuarffo a thi. dywet wrthaw yn gall ry dwyn antigonus ohonat o garchar brutus a'e rydhau ohonat a'e adaw ohonat y mywn glyn dyrys koedawc heb allu y dwyn hwy no hynny rac trymet yr heyrn a oed arnaw.","When the night comes, go to the host and whoever addresses you tell him discreeting you have led Antigonus from Brutus' prison and you freed him, and you left him in the middle of a rough wooded glen without being able to lead him further because of the weight if the irons which is on him","heb allu y dwyn hwy no hynny rac trymet yr heyrn a oed arnaw."
"88",1183,"BrutRB","34.41-46","doluryaw a wnaeth yn vwy no meint a galw y gedymdeithon gwasgaredic attaw ac eu bydinaw. ac yn gyflym kyrchu gwyr tro. kanys clotuorach a thegach oed gantaw y lad gan gyrchu. no'e vodi gan ffo yn hagyr.","he[Antigonus] grieved excessively and called his scattered companions to him and their troops and approached the men of Troy swiftly because he considered it more praiseworthy and better that he would be killed by/while approaching / attacking than that he would sink while fleeing ungraciously","gan ffo yn hagyr"
"89",225,"BrutRB","63.34-40","a gwedy gwelet o veli a bran wyr rufein yn ebryvygu eu gwystlon. Sef a wnaethant wynteu gan fflemychu o anrugarawc irlloned peri crogi petwar gwystyl ar hugeint. o dylyedogyon rufein yg gwyd eu rieni. ac eu kenedyl","and after Beli and Bran saw the Romans despising their hostages, they, enflamed by cruel wrath, hung 24 hostages of high-borns of Rome in the presence of their parents and their cenedl","gan fflemychu o anrugarawc irlloned"
"90",126,"BrutRB","48.13-16","a dyuot a wnaeth corineus at locrinus dan dreiglaw bwyell deuwynebawc yny law deheu. dan dywedut y ryw ymadrawd hwnn","and Corineus came to Locrinus whirling a battle-axe in his right hand, saying such a kind of statement","dan dywedut y ryw ymadrawd hwnn"
"91",1046,"Ger","10.297-298","Gereint a gymerth y gwaew gan y diolwch y’r gwr gwynllwyt.","Geraint took the lance, thanking the grey-haired man for it. Davies2007:147","gan y diolwch y’r gwr gwynllwyt"
